dataset,seed,model,probability_calibration,defer_cost,mondrian_cost,mondrian_abstain,threshold_cost,cost_diff,cost_diff_ci_lo,cost_diff_ci_hi,p_mondrian_cheaper,mondrian_wins
uci_default,19,ada,none,0.5,0.51725,0.5648333333333333,0.6973333333333334,-0.18008333333333335,-0.19616875,-0.1624979166666667,1.0,True
uci_default,19,ada,none,1.0,0.7996666666666666,0.5648333333333333,0.6973333333333334,0.10233333333333333,0.086825,0.11867083333333334,0.0,False
uci_default,19,ada,none,2.0,1.3645,0.5648333333333333,0.6973333333333334,0.6671666666666667,0.6441583333333334,0.6880124999999999,0.0,False
uci_default,19,ada,sigmoid,0.0,0.27416666666666667,0.5268333333333334,0.695,-0.42083333333333334,-0.44467083333333335,-0.3938333333333333,1.0,True
uci_default,19,ada,sigmoid,0.5,0.5375833333333333,0.5268333333333334,0.695,-0.15741666666666668,-0.17883333333333334,-0.13232916666666666,1.0,True
uci_default,19,ada,sigmoid,1.0,0.801,0.5268333333333334,0.695,0.106,0.08432916666666666,0.13035,0.0,False
uci_default,19,ada,sigmoid,2.0,1.3278333333333334,0.5268333333333334,0.695,0.6328333333333334,0.6063291666666666,0.6601708333333334,0.0,False
uci_default,19,ada,isotonic,0.0,0.15616666666666668,0.6626666666666666,0.6995,-0.5433333333333333,-0.5561666666666667,-0.5315,1.0,True
uci_default,19,ada,isotonic,0.5,0.4875,0.6626666666666666,0.6995,-0.212,-0.221,-0.204,1.0,True
uci_default,19,ada,isotonic,1.0,0.8188333333333333,0.6626666666666666,0.6995,0.11933333333333333,0.1115,0.12700416666666667,0.0,False
uci_default,19,ada,isotonic,2.0,1.4815,0.6626666666666666,0.6995,0.782,0.7659958333333333,0.7978416666666666,0.0,False
uci_default,19,gnb,none,0.0,0.2801666666666667,0.5946666666666667,0.7806666666666666,-0.5005,-0.5293416666666666,-0.46899583333333333,1.0,True
uci_default,19,gnb,none,0.5,0.5775,0.5946666666666667,0.7806666666666666,-0.20316666666666666,-0.23083541666666665,-0.17332916666666667,1.0,True
uci_default,19,gnb,none,1.0,0.8748333333333334,0.5946666666666667,0.7806666666666666,0.09416666666666666,0.06798333333333334,0.12350416666666666,0.0,False
