dataset,model,probability_calibration,method,n_seeds,marginal_coverage_mean,marginal_coverage_ci_lo,marginal_coverage_ci_hi,coverage_class_0_mean,coverage_class_0_ci_lo,coverage_class_0_ci_hi,coverage_class_1_mean,coverage_class_1_ci_lo,coverage_class_1_ci_hi,average_set_size_mean,average_set_size_ci_lo,average_set_size_ci_hi,abstention_rate_mean,abstention_rate_ci_lo,abstention_rate_ci_hi,mean_cost_mean,mean_cost_ci_lo,mean_cost_ci_hi
uci_default,et,isotonic,random_oversampling_threshold,10,0.3974166666666667,0.37004267352547837,0.424790659807855,0.24361224053070832,0.20458733315753344,0.28263714790388317,0.9390354182366238,0.9243154818493742,0.9537553546238735,1.0,1.0,1.0,0.0,0.0,0.0,0.7239333333333333,0.7123949947833589,0.7354716718833078
uci_default,et,isotonic,raps_cp,10,0.9027166666666666,0.8997191353284724,0.9057141980048609,0.9795634496041087,0.9774576917587061,0.9816692074495112,0.6321024868123587,0.6203422909586158,0.6438626826661016,1.3103833333333335,1.297863379045956,1.322903287620711,0.31065,0.298209812575347,0.32309018742465295,0.8288499999999999,0.80299332735164,0.8547066726483598
uci_default,et,isotonic,risk_controlled_rejector,10,0.9123666666666667,0.9042292636896797,0.9205040696436536,0.9949925101647763,0.9925015323429865,0.997483487986566,0.6214016578749056,0.5888333938058276,0.6539699219439837,1.2802833333333332,1.2425622026137295,1.318004464052937,0.28028333333333333,0.2425622026137296,0.3180044640529371,0.8412333333333333,0.7684473018339302,0.9140193648327364
uci_default,et,isotonic,smote_threshold,10,0.39105,0.36172235698206123,0.4203776430179388,0.23554461801840362,0.19376361203176568,0.27732562400504157,0.9386586284853052,0.9233181917285379,0.9539990652420726,1.0,1.0,1.0,0.0,0.0,0.0,0.73105,0.7206973004868354,0.7414026995131645
uci_default,et,none,aps_cp,10,0.9012,0.8979567192650149,0.9044432807349851,0.9723090092017976,0.9701811356638979,0.9744368827396974,0.6507912584777694,0.6399593615218867,0.6616231554336521,1.3312833333333334,1.3199543824137525,1.3426122842529142,0.35174999999999995,0.3409360394642325,0.3625639605357674,0.7779666666666667,0.753581836919921,0.8023514964134124
uci_default,et,none,capacity_limited_aps,10,0.8588166666666666,0.856692105198481,0.8609412281348521,0.9722234110849561,0.9703045948846551,0.9741422272852571,0.459457422758101,0.452204655063931,0.46671019045227097,1.1,1.1,1.1,0.1,0.1,0.1,1.2171333333333334,1.2011142418592728,1.233152424807394
uci_default,et,none,capacity_limited_class_conditional_rejector,10,0.8613333333333333,0.8596338292662378,0.8630328374004288,0.9738283757757328,0.9720910680653964,0.9755656834860692,0.4651846269781462,0.46040082832075735,0.4699684256355351,1.1,1.1,1.1,0.1,0.1,0.1,1.2032166666666666,1.1925793813892063,1.213853951944127
uci_default,et,none,capacity_limited_confidence_rejector,10,0.8613333333333333,0.8596338292662378,0.8630328374004288,0.9738283757757328,0.9720910680653964,0.9755656834860692,0.4651846269781462,0.46040082832075735,0.4699684256355351,1.1,1.1,1.1,0.1,0.1,0.1,1.2032166666666666,1.1925793813892063,1.213853951944127
uci_default,et,none,capacity_limited_mondrian,10,0.8352833333333333,0.8322402638871456,0.838326402779521,0.8981168414294884,0.8929195655237533,0.9033141173352236,0.6140165787490581,0.603635820296557,0.6243973372015592,1.1,1.1,1.1,0.1,0.1,0.1,0.9330166666666665,0.9125341225188944,0.9534992108144386
uci_default,et,none,capacity_limited_raps,10,0.8589333333333334,0.8569289494465911,0.8609377172200757,0.9721806120265353,0.9704022167579616,0.973959007295109,0.46013564431047477,0.4534892554473459,0.4667820331736036,1.1,1.1,1.1,0.1,0.1,0.1,1.2156666666666667,1.2009228537688632,1.2304104795644701
uci_default,et,none,capacity_limited_risk_controlled_rejector,10,0.8613333333333333,0.8596338292662378,0.8630328374004288,0.9738283757757328,0.9720910680653964,0.9755656834860692,0.4651846269781462,0.46040082832075735,0.4699684256355351,1.1,1.1,1.1,0.1,0.1,0.1,1.2032166666666666,1.1925793813892063,1.213853951944127
uci_default,et,none,class_conditional_rejector,10,0.9521833333333332,0.9480635182290078,0.9563031484376585,0.9986090306013269,0.9978249704889106,0.9993930907137432,0.7886963074604371,0.7698941287048208,0.8074984862160534,1.4942166666666667,1.4706485200098016,1.5177848133235319,0.4942166666666667,0.4706485200098015,0.5177848133235319,0.4684166666666666,0.4269113630370976,0.5099219702962356
uci_default,et,none,class_weighted_threshold,10,0.45178333333333337,0.42055825827110216,0.4830084083955646,0.3198159640487909,0.27460117762282316,0.3650307504747587,0.916503391107762,0.8978025586072859,0.9352042236082382,1.0,1.0,1.0,0.0,0.0,0.0,0.7144166666666666,0.703062813293483,0.7257705200398502
uci_default,et,none,confidence_rejector,10,0.9998666666666667,0.9997493897442002,0.9999839435891331,1.0,1.0,1.0,0.9993971363978901,0.9988668714884712,0.999927401307309,1.9938500000000001,1.9904986094354657,1.9972013905645345,0.9938499999999999,0.9904986094354656,0.9972013905645342,0.0013333333333333335,0.00016056410866848586,0.002506102557998181
uci_default,et,none,cost_controlled_mondrian,10,0.9904166666666667,0.9893730929161155,0.9914602404172179,0.9903274127969185,0.9887128615698596,0.9919419640239774,0.9907309721175585,0.9870200974343156,0.9944418468008013,1.9197000000000002,1.9100282635618835,1.9293717364381169,0.9197000000000001,0.9100282635618834,0.9293717364381168,0.028033333333333334,0.020464842719423615,0.03560182394724305
uci_default,et,none,cost_tuned_threshold,10,0.42385,0.3919981312609003,0.45570186873909974,0.2796276481917398,0.23404667167351376,0.3252086247099658,0.9317256970610398,0.9146802546778605,0.9487711394442191,1.0,1.0,1.0,0.0,0.0,0.0,0.71205,0.7029803921954477,0.7211196078045522
uci_default,et,none,marginal_cp,10,0.9014166666666668,0.8982920108732776,0.9045413224600559,0.9922747699550609,0.9910616390012157,0.9934879009089062,0.5814619442351168,0.5705497834838676,0.5923741049863659,1.2311833333333333,1.222102306826393,1.2402643598402736,0.23118333333333335,0.222102306826393,0.2402643598402737,0.9316833333333333,0.9069081820535072,0.9564584846131594
uci_default,et,none,mondrian_cp,10,0.8998333333333333,0.8964563730521424,0.9032102936145241,0.8981168414294884,0.8929195655237533,0.9033141173352236,0.9058779201205727,0.8961588766539169,0.9155969635872284,1.5180333333333336,1.5015519433404123,1.5345147233262548,0.5180333333333332,0.501551943340412,0.5345147233262545,0.2875166666666667,0.26796115289272143,0.30707218044061196
uci_default,et,none,random_oversampling_threshold,10,0.41253333333333336,0.3781573749702169,0.44690929169644983,0.2646693772737,0.21527210428467697,0.314066650262723,0.933232856066315,0.9139910437809655,0.9524746683516645,1.0,1.0,1.0,0.0,0.0,0.0,0.7203666666666667,0.7091420442258773,0.7315912891074561
