dataset,model,probability_calibration,marginal_minority_coverage,mondrian_minority_coverage,coverage_gain,mondrian_abstention,mondrian_cost,break_even_defer_cost,failure_mode
miniboone,rf,sigmoid,0.8058493150684931,0.8995890410958903,0.09373972602739722,0.051270518586860415,0.15097835697535847,0.23551023468546148,low_review_cost_tolerance
aps_failure,ada,isotonic,0.19163636363636363,0.9120000000000001,0.7203636363636365,0.050394736842105256,0.040125,0.16109660574412535,low_review_cost_tolerance
wilt,et,sigmoid,0.0,0.9365384615384615,0.9365384615384615,0.049173553719008264,0.06797520661157026,0.13445378151260504,low_review_cost_tolerance
miniboone,et,none,0.8031780821917808,0.8992054794520549,0.0960273972602741,0.04916003536693191,0.15475723676623226,0.17446043165467623,low_review_cost_tolerance
aps_failure,gb,isotonic,0.15454545454545454,0.9185454545454546,0.764,0.04692105263157894,0.03105263157894737,0.14540100953449245,low_review_cost_tolerance
miniboone,et,sigmoid,0.8053972602739726,0.9015068493150684,0.09610958904109579,0.04609233844616154,0.16354515050167223,0.025020850708924108,low_review_cost_tolerance
aps_failure,rf,isotonic,0.25309090909090903,0.9123636363636363,0.6592727272727272,0.04217763157894737,0.020309210526315787,0.24504757448136016,low_review_cost_tolerance
miniboone,rf,isotonic,0.8401643835616438,0.9073698630136985,0.06720547945205468,0.04147157190635452,0.16443316803136893,0.0,low_review_cost_tolerance
miniboone,gb,sigmoid,0.8058356164383561,0.9002739726027397,0.09443835616438356,0.04096028908622612,0.19196171145196633,0.0,low_review_cost_tolerance
miniboone,gb,none,0.8176575342465753,0.9007260273972602,0.08306849315068487,0.0408987813785415,0.18996655518394648,0.0,low_review_cost_tolerance
fraud,et,isotonic,0.5484848484848485,0.88989898989899,0.3414141414141415,0.03904181735191882,0.019400653066956916,0.0,low_review_cost_tolerance
miniboone,et,isotonic,0.8370273972602739,0.9139041095890411,0.07687671232876725,0.029231538077115295,0.18855956637066085,0.0,low_review_cost_tolerance
miniboone,gb,isotonic,0.823013698630137,0.9088493150684931,0.08583561643835613,0.028401184023372928,0.21372775150886092,0.0,low_review_cost_tolerance
aps_failure,logreg,isotonic,0.08545454545454546,0.9065454545454544,0.821090909090909,0.028164473684210527,0.054125,0.0,low_review_cost_tolerance
miniboone,ada,isotonic,0.8264520547945204,0.9097945205479452,0.08334246575342474,0.01676469457578903,0.3188328912466844,0.0,low_review_cost_tolerance
miniboone,ada,none,0.8119041095890411,0.900164383561644,0.08826027397260283,0.004628455003267597,0.3471187483181486,0.0,low_review_cost_tolerance
miniboone,ada,sigmoid,0.8101780821917808,0.900904109589041,0.09072602739726021,0.0024756852343059237,0.3458578403106139,0.0,low_review_cost_tolerance
seismic_bumps,ada,sigmoid,0.0,0.9705882352941178,0.9705882352941178,0.7421663442940039,0.09168278529980659,0.46963773781600204,marginal_undercoverage
seismic_bumps,gb,none,0.020588235294117647,0.9676470588235293,0.9470588235294116,0.7410058027079305,0.11876208897485493,0.4876011485251892,marginal_undercoverage
diabetes130us,rf,isotonic,0.12702464788732393,0.9283450704225352,0.8013204225352113,0.7393534440404833,0.1582784710621991,0.836737812981766,marginal_undercoverage
seismic_bumps,hgb,sigmoid,0.0,0.9441176470588235,0.9441176470588235,0.7382978723404257,0.1344294003868472,0.5740110034058161,marginal_undercoverage
diabetes130us,et,isotonic,0.13160211267605632,0.924031690140845,0.7924295774647887,0.7366512724771543,0.1598702957649602,0.836372367245128,marginal_undercoverage
ozone_level_8hr,logreg,isotonic,0.1125,0.996875,0.8843749999999999,0.7272189349112427,0.047534516765286,0.333062110116626,marginal_undercoverage
oil_spill,gb,isotonic,0.1125,0.9625,0.85,0.7265957446808511,0.05797872340425532,0.3074670571010249,marginal_undercoverage
diabetes130us,hgb,isotonic,0.11980633802816901,0.9286971830985916,0.8088908450704226,0.721750024565196,0.1533654318561462,0.8314216670637486,marginal_undercoverage
