dataset,model,probability_calibration,defer_cost,n_seeds,mondrian_cost,mondrian_abstain,threshold_cost,cost_diff,cost_diff_ci_lo,cost_diff_ci_hi,p_mondrian_cheaper,mondrian_wins
aps_failure,et,sigmoid,0.5,10,0.059032894736842104,0.08593421052631578,0.03202631578947368,0.027006578947368427,0.025337165582787754,0.0286759923119491,0.0,False
aps_failure,et,sigmoid,1.0,10,0.10200000000000001,0.08593421052631578,0.03202631578947368,0.06997368421052633,0.06773667963438344,0.07221068878666921,0.0,False
aps_failure,et,sigmoid,2.0,10,0.18793421052631581,0.08593421052631578,0.03202631578947368,0.1559078947368421,0.14933298937266684,0.16248280010101737,0.0,False
aps_failure,gb,isotonic,0.0,10,0.03105263157894737,0.04692105263157894,0.037875,-0.0068223684210526325,-0.011534745447311416,-0.00210999139479385,0.8023,True
aps_failure,gb,isotonic,0.5,10,0.05451315789473684,0.04692105263157894,0.037875,0.01663815789473684,0.010496276234670912,0.022780039554802768,0.0154,False
aps_failure,gb,isotonic,1.0,10,0.0779736842105263,0.04692105263157894,0.037875,0.040098684210526314,0.031382052993138926,0.0488153154279137,0.0,False
aps_failure,gb,isotonic,2.0,10,0.12489473684210525,0.04692105263157894,0.037875,0.08701973684210526,0.07216323093451062,0.1018762427496999,0.0,False
aps_failure,gb,none,0.0,10,0.022355263157894736,0.07644736842105264,0.03692105263157895,-0.014565789473684209,-0.019071540120234556,-0.01006003882713386,0.9861000000000001,True
aps_failure,gb,none,0.5,10,0.06057894736842105,0.07644736842105264,0.03692105263157895,0.023657894736842107,0.020649709267681882,0.02666608020600233,0.0,False
aps_failure,gb,none,1.0,10,0.09880263157894738,0.07644736842105264,0.03692105263157895,0.06188157894736843,0.05764309901984376,0.06612005887489311,0.0,False
aps_failure,gb,none,2.0,10,0.17525,0.07644736842105264,0.03692105263157895,0.13832894736842105,0.1285156808017823,0.1481422139350598,0.0,False
aps_failure,gb,sigmoid,0.0,10,0.023625,0.07725000000000001,0.03760526315789474,-0.013980263157894735,-0.01806894317544736,-0.009891583140342112,0.9714,True
aps_failure,gb,sigmoid,0.5,10,0.06225000000000001,0.07725000000000001,0.03760526315789474,0.024644736842105264,0.021509052510405056,0.027780421173805473,0.0,False
aps_failure,gb,sigmoid,1.0,10,0.100875,0.07725000000000001,0.03760526315789474,0.06326973684210527,0.06052107346481627,0.06601840021939426,0.0,False
aps_failure,gb,sigmoid,2.0,10,0.178125,0.07725000000000001,0.03760526315789474,0.14051973684210525,0.13641819015784828,0.14462128352636222,0.0,False
aps_failure,gnb,isotonic,0.0,10,0.04661842105263157,0.3815855263157895,0.05596710526315789,-0.009348684210526315,-0.015674307298897953,-0.0030230611221546766,0.9084999999999999,True
aps_failure,gnb,isotonic,0.5,10,0.23741118421052634,0.3815855263157895,0.05596710526315789,0.18144407894736841,0.03617681096022826,0.32671134693450854,0.3019,False
aps_failure,gnb,isotonic,1.0,10,0.42820394736842105,0.3815855263157895,0.05596710526315789,0.37223684210526314,0.07550665062898487,0.6689670335815414,0.135,False
aps_failure,gnb,isotonic,2.0,10,0.8097894736842107,0.3815855263157895,0.05596710526315789,0.7538223684210525,0.15416225924579618,1.3534824775963088,0.0342,False
aps_failure,gnb,none,0.0,10,0.048118421052631574,0.37976973684210524,0.055940789473684215,-0.00782236842105263,-0.013795335550257512,-0.0018494012918477479,0.7985,True
aps_failure,gnb,none,0.5,10,0.23800328947368418,0.37976973684210524,0.055940789473684215,0.18206249999999996,0.03663756449625469,0.32748743550374526,0.2453,False
aps_failure,gnb,none,1.0,10,0.42788815789473683,0.37976973684210524,0.055940789473684215,0.37194736842105264,0.075255609698407,0.6686391271436982,0.1853,False
aps_failure,gnb,none,2.0,10,0.807657894736842,0.37976973684210524,0.055940789473684215,0.7517171052631579,0.15248782339982025,1.3509463871264957,0.10149999999999999,False
aps_failure,gnb,sigmoid,0.0,10,0.048967105263157895,0.2866776315789473,0.05569078947368421,-0.006723684210526315,-0.011901734158327779,-0.0015456342627248511,0.8564999999999999,True
aps_failure,gnb,sigmoid,0.5,10,0.19230592105263156,0.2866776315789473,0.05569078947368421,0.13661513157894736,0.0002873370997201752,0.27294292605817455,0.3144,False
aps_failure,gnb,sigmoid,1.0,10,0.3356447368421053,0.2866776315789473,0.05569078947368421,0.27995394736842105,0.0022426669993358406,0.5576652277375063,0.1193,False
aps_failure,gnb,sigmoid,2.0,10,0.6223223684210527,0.2866776315789473,0.05569078947368421,0.5666315789473684,0.0061499756019572915,1.1271131822927796,0.0104,False
aps_failure,hgb,isotonic,0.0,10,0.022105263157894732,0.05601973684210526,0.03151315789473684,-0.009407894736842105,-0.013947216558185285,-0.004868572915498925,0.8462999999999999,True
aps_failure,hgb,isotonic,0.5,10,0.05011513157894737,0.05601973684210526,0.03151315789473684,0.018601973684210526,0.014033752929841332,0.02317019443857972,0.0004,False
aps_failure,hgb,isotonic,1.0,10,0.078125,0.05601973684210526,0.03151315789473684,0.04661184210526316,0.037654763350964356,0.055568920859561964,0.0,False
aps_failure,hgb,isotonic,2.0,10,0.13414473684210526,0.05601973684210526,0.03151315789473684,0.10263157894736843,0.08323460083807942,0.12202855705665745,0.0,False
aps_failure,hgb,none,0.0,10,0.016302631578947367,0.08695394736842105,0.030940789473684217,-0.014638157894736844,-0.016922403496712396,-0.01235391229276129,0.9996,True
aps_failure,hgb,none,0.5,10,0.0597796052631579,0.08695394736842105,0.030940789473684217,0.028838815789473688,0.027884932043863928,0.02979269953508345,0.0,False
aps_failure,hgb,none,1.0,10,0.10325657894736842,0.08695394736842105,0.030940789473684217,0.07231578947368421,0.06990640905450815,0.07472516989286027,0.0,False
aps_failure,hgb,none,2.0,10,0.19021052631578947,0.08695394736842105,0.030940789473684217,0.15926973684210527,0.1526966961199448,0.16584277756426574,0.0,False
aps_failure,hgb,sigmoid,0.0,10,0.017631578947368422,0.08564473684210526,0.032203947368421054,-0.01457236842105263,-0.017717864970996117,-0.011426871871109145,0.9996,True
aps_failure,hgb,sigmoid,0.5,10,0.060453947368421045,0.08564473684210526,0.032203947368421054,0.028249999999999997,0.02549260257374311,0.031007397426256883,0.0,False
aps_failure,hgb,sigmoid,1.0,10,0.10327631578947367,0.08564473684210526,0.032203947368421054,0.07107236842105263,0.06714413640410036,0.07500060043800491,0.0,False
aps_failure,hgb,sigmoid,2.0,10,0.18892105263157893,0.08564473684210526,0.032203947368421054,0.1567171052631579,0.1488785746750599,0.1645556358512559,0.0,False
aps_failure,logreg,isotonic,0.0,10,0.054125,0.028164473684210527,0.04271052631578947,0.011414473684210526,-2.537383677846637e-05,0.02285432120519952,0.31120000000000003,False
aps_failure,logreg,isotonic,0.5,10,0.06820723684210525,0.028164473684210527,0.04271052631578947,0.025496710526315792,0.019531313501862456,0.03146210755076913,0.0007,False
aps_failure,logreg,isotonic,1.0,10,0.08228947368421054,0.028164473684210527,0.04271052631578947,0.03957894736842105,0.030824397021899798,0.048333497714942296,0.0,False
aps_failure,logreg,isotonic,2.0,10,0.11045394736842104,0.028164473684210527,0.04271052631578947,0.06774342105263158,0.043915379772361984,0.09157146233290117,0.0,False
aps_failure,logreg,none,0.0,10,0.03545394736842106,0.07257236842105264,0.04143421052631578,-0.005980263157894737,-0.010164046144805452,-0.0017964801709840208,0.7455999999999999,True
aps_failure,logreg,none,0.5,10,0.07174013157894736,0.07257236842105264,0.04143421052631578,0.03030592105263158,0.02746681594448624,0.03314502616077692,0.0,False
aps_failure,logreg,none,1.0,10,0.10802631578947368,0.07257236842105264,0.04143421052631578,0.06659210526315788,0.06289912426970065,0.07028508625661511,0.0,False
aps_failure,logreg,none,2.0,10,0.18059868421052633,0.07257236842105264,0.04143421052631578,0.13916447368421053,0.13080644584074572,0.14752250152767535,0.0,False
aps_failure,logreg,sigmoid,0.0,10,0.045664473684210526,0.06251973684210525,0.04168421052631579,0.003980263157894737,-0.004697175139390988,0.012657701455180461,0.40619999999999995,False
aps_failure,logreg,sigmoid,0.5,10,0.07692434210526315,0.06251973684210525,0.04168421052631579,0.03524013157894737,0.03061949705226902,0.039860766105625715,0.0,False
aps_failure,logreg,sigmoid,1.0,10,0.1081842105263158,0.06251973684210525,0.04168421052631579,0.06650000000000002,0.06382341098072837,0.06917658901927166,0.0,False
aps_failure,logreg,sigmoid,2.0,10,0.17070394736842104,0.06251973684210525,0.04168421052631579,0.12901973684210527,0.11911638026743525,0.13892309341677528,0.0,False
aps_failure,rf,isotonic,0.0,10,0.020309210526315787,0.04217763157894737,0.03064473684210526,-0.010335526315789472,-0.014530642660601212,-0.006140409970977732,0.9286999999999999,True
aps_failure,rf,isotonic,0.5,10,0.04139802631578947,0.04217763157894737,0.03064473684210526,0.010753289473684209,0.006147057460101108,0.01535952148726731,0.0951,False
aps_failure,rf,isotonic,1.0,10,0.06248684210526316,0.04217763157894737,0.03064473684210526,0.031842105263157894,0.023142536839012382,0.04054167368730341,0.0,False
aps_failure,rf,isotonic,2.0,10,0.10466447368421053,0.04217763157894737,0.03064473684210526,0.07401973684210526,0.055658011402098403,0.09238146228211212,0.0,False
aps_failure,rf,none,0.0,10,0.014671052631578946,0.08594736842105263,0.029157894736842105,-0.014486842105263159,-0.01735862348907444,-0.011615060721451876,0.999,True
